timestamp,open,high,low,close,volume
2025-01-01 00:00:00,42000.00,42100.00,41900.00,42050.00,150.5
2025-01-01 00:05:00,42050.00,42150.00,41950.00,42100.00,120.3
2025-01-01 00:10:00,42100.00,42200.00,42000.00,42180.00,135.7
2025-01-01 00:15:00,42180.00,42300.00,42100.00,42250.00,142.1
2025-01-01 00:20:00,42250.00,42350.00,42150.00,42300.00,128.4
2025-01-01 00:25:00,42300.00,42400.00,42200.00,42380.00,156.2
2025-01-01 00:30:00,42380.00,42500.00,42350.00,42450.00,163.8
2025-01-01 00:35:00,42450.00,42550.00,42400.00,42520.00,145.9
2025-01-01 00:40:00,42520.00,42600.00,42450.00,42580.00,138.6
2025-01-01 00:45:00,42580.00,42650.00,42500.00,42620.00,151.3
2025-01-01 00:50:00,42620.00,42700.00,42550.00,42680.00,159.7
2025-01-01 00:55:00,42680.00,42750.00,42600.00,42720.00,147.2
2025-01-01 01:00:00,42720.00,42800.00,42650.00,42780.00,162.5
2025-01-01 01:05:00,42780.00,42850.00,42700.00,42830.00,155.8
2025-01-01 01:10:00,42830.00,42900.00,42750.00,42870.00,143.6
2025-01-01 01:15:00,42870.00,42900.00,42700.00,42750.00,168.2
2025-01-01 01:20:00,42750.00,42800.00,42600.00,42620.00,172.5
2025-01-01 01:25:00,42620.00,42700.00,42500.00,42530.00,180.1
2025-01-01 01:30:00,42530.00,42600.00,42400.00,42420.00,175.4
2025-01-01 01:35:00,42420.00,42500.00,42300.00,42350.00,188.9
2025-01-01 01:40:00,42350.00,42400.00,42200.00,42230.00,195.3
2025-01-01 01:45:00,42230.00,42300.00,42100.00,42120.00,201.7
2025-01-01 01:50:00,42120.00,42200.00,42000.00,42050.00,210.2
2025-01-01 01:55:00,42050.00,42100.00,41900.00,41920.00,218.6
2025-01-01 02:00:00,41920.00,42000.00,41800.00,41850.00,225.4
2025-01-01 02:05:00,41850.00,41900.00,41700.00,41730.00,232.8
2025-01-01 02:10:00,41730.00,41800.00,41600.00,41650.00,240.1
2025-01-01 02:15:00,41650.00,41700.00,41500.00,41520.00,248.5
2025-01-01 02:20:00,41520.00,41600.00,41400.00,41450.00,255.3
2025-01-01 02:25:00,41450.00,41500.00,41300.00,41320.00,262.7
2025-01-01 02:30:00,41320.00,41400.00,41200.00,41250.00,270.1
2025-01-01 02:35:00,41250.00,41300.00,41100.00,41150.00,278.4
2025-01-01 02:40:00,41150.00,41200.00,41000.00,41050.00,285.9
2025-01-01 02:45:00,41050.00,41100.00,40900.00,40950.00,293.2
2025-01-01 02:50:00,40950.00,41000.00,40800.00,40850.00,300.6
2025-01-01 02:55:00,40850.00,40900.00,40700.00,40780.00,308.1
2025-01-01 03:00:00,40780.00,40850.00,40650.00,40700.00,315.5
2025-01-01 03:05:00,40700.00,40750.00,40550.00,40600.00,322.8
2025-01-01 03:10:00,40600.00,40650.00,40500.00,40550.00,330.2
2025-01-01 03:15:00,40550.00,40600.00,40400.00,40480.00,337.6
2025-01-01 03:20:00,40480.00,40550.00,40500.00,40530.00,315.2
2025-01-01 03:25:00,40530.00,40700.00,40500.00,40680.00,298.7
2025-01-01 03:30:00,40680.00,40850.00,40650.00,40820.00,312.4
2025-01-01 03:35:00,40820.00,41000.00,40800.00,40980.00,325.1
2025-01-01 03:40:00,40980.00,41150.00,40950.00,41120.00,338.6
2025-01-01 03:45:00,41120.00,41300.00,41100.00,41280.00,345.2
2025-01-01 03:50:00,41280.00,41450.00,41250.00,41420.00,352.8
2025-01-01 03:55:00,41420.00,41600.00,41400.00,41580.00,360.1
2025-01-01 04:00:00,41580.00,41750.00,41550.00,41720.00,367.5
2025-01-01 04:05:00,41720.00,41900.00,41700.00,41880.00,374.9
2025-01-01 04:10:00,41880.00,42050.00,41850.00,42020.00,382.3
2025-01-01 04:15:00,42020.00,42200.00,42000.00,42180.00,389.7
2025-01-01 04:20:00,42180.00,42350.00,42150.00,42300.00,397.1
2025-01-01 04:25:00,42300.00,42450.00,42280.00,42420.00,404.5
2025-01-01 04:30:00,42420.00,42550.00,42350.00,42500.00,350.2
2025-01-01 04:35:00,42500.00,42600.00,42400.00,42550.00,340.8
2025-01-01 04:40:00,42550.00,42650.00,42500.00,42620.00,335.3
2025-01-01 04:45:00,42620.00,42700.00,42550.00,42680.00,328.7
2025-01-01 04:50:00,42680.00,42750.00,42600.00,42700.00,322.1
2025-01-01 04:55:00,42700.00,42750.00,42620.00,42650.00,318.4
2025-01-01 05:00:00,42650.00,42700.00,42550.00,42580.00,312.9
2025-01-01 05:05:00,42580.00,42650.00,42500.00,42530.00,308.2
2025-01-01 05:10:00,42530.00,42600.00,42480.00,42550.00,305.6
2025-01-01 05:15:00,42550.00,42620.00,42500.00,42580.00,301.3
2025-01-01 05:20:00,42580.00,42650.00,42520.00,42600.00,298.7
2025-01-01 05:25:00,42600.00,42680.00,42550.00,42620.00,295.1
2025-01-01 05:30:00,42620.00,42700.00,42580.00,42650.00,291.5
2025-01-01 05:35:00,42650.00,42720.00,42600.00,42680.00,288.2
2025-01-01 05:40:00,42680.00,42750.00,42650.00,42720.00,285.6
2025-01-01 05:45:00,42720.00,42800.00,42700.00,42780.00,282.1
2025-01-01 05:50:00,42780.00,42850.00,42750.00,42820.00,278.9
2025-01-01 05:55:00,42820.00,42900.00,42800.00,42880.00,275.3
2025-01-01 06:00:00,42880.00,42950.00,42850.00,42920.00,272.1
2025-01-01 06:05:00,42920.00,43000.00,42900.00,42980.00,268.7
2025-01-01 06:10:00,42980.00,43050.00,42950.00,43020.00,265.4
2025-01-01 06:15:00,43020.00,43100.00,43000.00,43080.00,262.1
2025-01-01 06:20:00,43080.00,43150.00,43050.00,43120.00,258.8
